country,nb_study,pct_study,psi_s
LCA,1,0.09,28.17
FIN,18,1.67,16.80
LUX,2,0.19,16.53
DNK,16,1.49,14.29
BTN,2,0.19,13.41
CHE,22,2.04,13.15
GBR,169,15.71,12.88
CAN,82,7.62,11.24
SWE,21,1.95,10.76
AUS,53,4.93,10.75
SGP,10,0.93,8.84
USA,493,45.82,7.70
SVN,3,0.28,7.46
IRL,7,0.65,7.33
NZL,6,0.56,6.44
AUT,11,1.02,6.32
NLD,20,1.86,6.04
DEU,94,8.74,5.80
NOR,6,0.56,5.72
KOR,44,4.09,4.44
CYP,1,0.09,4.28
JAM,2,0.19,3.49
BIH,2,0.19,3.15
PRT,6,0.56,3.04
ISR,5,0.46,2.99
LVA,1,0.09,2.74
BEL,6,0.56,2.68
LSO,1,0.09,2.41
TWN,11,1.02,2.39
FRA,29,2.70,2.30
NAM,1,0.09,2.04
SLV,2,0.19,1.59
MNG,1,0.09,1.58
ARE,3,0.28,1.57
HND,3,0.28,1.57
URY,1,0.09,1.49
BGR,2,0.19,1.49
GEO,1,0.09,1.30
ITA,15,1.39,1.28
MDA,1,0.09,1.28
HRV,1,0.09,1.26
KWT,1,0.09,1.21
PAN,1,0.09,1.20
JPN,29,2.70,1.19
SRB,2,0.19,1.18
ESP,9,0.84,1.00
GRC,2,0.19,0.99
MYS,6,0.56,0.96
CHL,3,0.28,0.81
KEN,8,0.74,0.77
LBN,1,0.09,0.76
COL,7,0.65,0.71
TUR,11,1.02,0.67
ZAF,7,0.65,0.61
ECU,2,0.19,0.59
PHL,12,1.12,0.57
ROU,2,0.19,0.54
HUN,1,0.09,0.54
CZE,1,0.09,0.48
ARG,4,0.37,0.46
CUB,1,0.09,0.46
BOL,1,0.09,0.44
TUN,1,0.09,0.44
CIV,2,0.19,0.39
BRA,16,1.49,0.39
THA,5,0.46,0.37
VEN,2,0.19,0.36
MEX,9,0.84,0.36
UKR,3,0.28,0.35
VNM,6,0.56,0.32
BGD,10,0.93,0.31
KHM,1,0.09,0.31
SAU,2,0.19,0.30
SYR,1,0.09,0.30
POL,2,0.19,0.27
IRQ,2,0.19,0.26
LKA,1,0.09,0.24
CHN,64,5.95,0.23
IND,57,5.30,0.21
RUS,6,0.56,0.21
PAK,9,0.84,0.21
EGY,4,0.37,0.20
CMR,1,0.09,0.19
IRN,3,0.28,0.18
NPL,1,0.09,0.18
GHA,1,0.09,0.17
PER,1,0.09,0.16
MAR,1,0.09,0.14
AFG,1,0.07,0.13
IDN,6,0.56,0.11
COD,1,0.09,0.06
ETH,1,0.09,0.04
NGA,1,0.09,0.03
