"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21700","23330","23890","24530","25630","25760","25580","27060","27680","27210","29730","30470","28770","30390","32660","27300","33910","32000","37140","33200","31850","32200","33100","34610","35430","35740","35880","36750","37450","37990","30330","",
"Africa Eastern and Southern","AFE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1728.98822980569","1759.80270346868","1670.35923984929","1701.85270314904","1722.18860557168","1824.60978418733","1909.31501002761","1986.79697048447","1990.26918167681","2008.66445122897","2077.69402977743","2143.41894194099","2210.42955270184","2272.1797961073","2402.43410312808","2561.27935038584","2738.49051211801","2907.83449151301","3002.85718455835","2982.20705264698","3066.45686275266","3177.26757555514","3121.57321008042","3238.88297556325","3386.9798216795","3425.70094977192","3542.301455408","3567.12399029652","3649.83799207127","3706.91743576007","3572.75299850242","3784.16723604735",
"Afghanistan","AFG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1510","1710","1700","1920","2020","2070","2110","2000","2090","2100","2190","2100","",
"Africa Western and Central","AFW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1634.63870627746","1670.74511506923","1695.6459304137","1645.48499434661","1654.78954448518","1690.52159849955","1706.39108560948","1766.19417332677","1794.090540923","1829.68421363387","1801.77848021082","1921.44339438596","2083.12717694623","2171.98204196932","2336.90229864447","2498.38065525932","2768.29042218138","2874.4611014662","3022.92418449327","3133.95717901743","3287.3545618683","3417.49959950201","3532.96268476183","3762.24046358449","4051.86414386733","4020.8618124873","3959.12705130559","3972.51507052464","4047.75840089489","4177.28366690437","4089.21258641347","4301.2299214175",
"Angola","AGO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2980","3300","1620","1480","1250","2340","2410","2810","2810","2620","2780","2890","3360","3450","3760","4290","4710","5330","5560","5820","5950","6130","6810","7130","7680","6960","6730","6860","6600","6360","5930","6060",
"Albania","ALB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2550","1880","1740","2110","2300","2710","3050","2780","3110","3550","3980","4440","4780","5130","5560","5980","6760","7490","8270","8670","9530","10210","10450","10750","11360","11800","12280","12800","13480","13820","13410","15430",
"Andorra","AND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6880.06485698289","7446.20450076132","7851.05079800734","8085.841513687","8189.74788489099","8338.41867084686","8599.47341438436","8913.35511553238","9430.62737568328","9491.00957428944","10084.621361173","10303.4077704247","10154.2391006892","10548.0202232561","11594.9536671342","12250.2600611277","13184.6454273066","13903.6163337461","14577.9002116674","14310.2381761674","14627.2174075113","15143.2454327319","16074.1781090287","16040.5859266164","15833.9336619212","14333.5484672622","13907.2466327784","14395.4475052909","14738.5149889785","14935.5130023173","14210.5819991722","",
"United Arab Emirates","ARE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103050","101410","96280","99230","102390","99280","97820","90040","80770","68850","64870","67710","69160","70460","73740","65220","64340","67670","68800","71500","66680","",
"Argentina","ARG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6870","7750","8550","9400","10020","9780","10360","11250","11640","11260","11300","10900","9530","10590","10860","12030","14470","16160","16990","15830","17450","18770","19180","19700","19280","19730","19860","22990","22460","22090","20230","23150",
"Armenia","ARM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2670","2550","1290","1480","1630","1870","2040","2240","2380","2510","2740","3080","3580","4180","4810","5690","6720","7970","8800","7530","7880","8310","9740","10440","10490","10370","10950","12540","13230","14420","13100","14220",
"American Samoa","ASM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10470","11290","11570","12430","13220","12620","13470","14270","14860","15300","15920","15660","15520","16680","17810","19450","22270","24620","24570","21500","20120","19720","18950","18180","18110","17720","18570","18780","20470","21340","17910","19610",
"Australia","AUS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16760","17100","17500","18640","19640","20200","21230","22200","23450","24510","25580","26670","27990","28970","30510","31440","33030","34970","35970","38870","37810","40320","41530","44760","45660","45310","46140","47090","48600","50090","52230","55290",
"Austria","AUT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19550","20590","21330","21780","22660","23590","24540","25310","26510","27170","29120","29300","31000","32060","33730","34940","37750","39390","41660","40900","42360","44600","46500","48050","48860","49370","52680","53670","56400","57870","55620","58370",
"Azerbaijan","AZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3230","2610","2310","2360","2520","2790","3120","3320","3680","4030","4480","4850","5970","8140","10020","11640","12940","13800","13790","15050","16330","16940","14460","13510","13590","13850","14470","14390","15460",
"Burundi","BDI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","610","650","650","620","590","550","510","500","530","520","540","530","550","530","550","560","600","610","640","640","660","680","690","740","770","840","800","770","780","790","780","800",
"Belgium","BEL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18740","19730","20400","20800","22030","22930","23270","24310","24960","26030","28500","29330","30810","31520","32510","33590","35770","37300","38800","38450","40450","41010","43270","44750","45870","46850","49060","50900","52990","54790","53650","59460",
"Benin","BEN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1230","1290","1290","1370","1370","1440","1480","1560","1600","1670","1750","1830","1880","1920","2000","2050","2130","2250","2350","2350","2350","2410","2480","2650","2820","2860","2980","3010","3200","3390","3470","3750",
"Burkina Faso","BFA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","590","650","640","660","670","700","780","810","860","910","920","970","1000","1060","1110","1200","1290","1340","1400","1390","1460","1520","1580","1640","1620","1640","1810","1970","2100","2150","2110","2330",
"Bangladesh","BGD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","860","900","960","1010","1050","1100","1150","1200","1250","1300","1370","1440","1510","1590","1690","1830","2010","2200","2380","2490","2640","2830","3190","3400","3590","3790","4830","5060","5530","6020","6240","6960",
"Bulgaria","BGR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6950","6480","6800","6910","7190","7560","6630","5570","6060","5730","6270","6970","7950","8550","9310","10320","11130","11870","13650","13730","14650","15250","16110","16280","17470","17820","19450","20990","22270","23810","24100","26000",
"Bahrain","BHR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28250","31280","32150","34660","34220","36650","38070","37550","39010","39180","41090","40560","39610","40970","42270","44250","45290","46940","46170","41620","42550","41180","49020","49600","48600","43030","42280","45030","44880","44460","40730","",
"Bahamas, The","BHS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20820","20210","19850","19840","20530","23690","26010","24280","23020","26210","27520","28260","29080","28870","29420","30700","31750","32440","32170","30260","30380","30790","31410","30860","32040","32710","32630","34860","34840","36320","27750","31870",
"Bosnia and Herzegovina","BIH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800","1010","2080","2910","4220","4540","5030","5190","5530","5720","6500","6750","7640","8440","9360","9380","9500","10060","10380","11160","11530","12090","13090","13640","14830","15660","15460","16690",
"Belarus","BLR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5230","5160","4950","4650","4190","3850","4050","4590","5060","5340","5780","6220","6690","7380","8490","9660","10970","12220","13720","13740","15050","16380","17700","18330","18440","17330","16950","17670","18730","19500","19040","20870",
"Belize","BLZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3260","3680","4120","4390","4350","4390","4370","4460","4450","4690","5190","5330","5560","5920","6060","6270","6580","6510","6660","6950","6860","7210","6740","6690","6630","6890","6820","6660","6710","6830","5940","6600",
"Bermuda","BMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72180","71790","70450","72180","71390","74460","78530","85190","86070","86300","82630","87340",
"Bolivia","BOL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2250","2410","2480","2590","2730","2860","2980","3130","3280","3260","3340","3410","3490","3540","3700","3930","4190","4410","4720","4790","4930","5240","5570","6210","6690","6890","7360","8170","8650","8900","8190","8800",
"Brazil","BRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6520","6720","6740","7080","7590","7970","8170","8430","8390","8330","8810","8940","9230","9420","10130","10680","11370","12300","13000","12990","13850","14640","14660","15350","15400","14430","13930","14220","14560","14890","14440","15550",
"Barbados","BRB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9360","9290","8970","9180","9510","9810","10310","11000","11490","11580","12300","12170","12390","12820","13410","14150","15170","16180","16330","15690","15730","15250","14740","14700","14540","14840","15230","15090","15210","15340","13840","14530",
