name,display_name,relevance_score,country_code,type,works_count,cited_by_count
"University of Southern California, Information Sciences Institute",University of Southern California,200259.97,US,education,214004,7371705
Sapienza University of Rome,Sapienza University of Rome,193184.11,IT,education,176055,3652998
Sapienza University of Roma,,-1,IT,,-1,-1
University of Michigan School of Information,,-1,US,,-1,-1
Facebook,Meta (Israel),4814.626,US,company,4101,288201
Cornell University,Cornell University,237984.52,US,education,341721,13561303
Stanford University,Stanford University,305476.94,US,education,390672,19958742
Carleton College,Carleton College,20166.549,US,education,4016,68046
"University of California, Santa Barbara","University of California, Berkeley",203838.98,US,education,325100,15870524
"CyLab, CMU Silicon Valley",,-1,US,,-1,-1
Georgia Institute of Technology,Georgia Institute of Technology,145841.89,US,education,153788,4837598
"Zucker Hillside Hospital, Psychiatry Research",Zucker Hillside Hospital,38943.996,US,healthcare,2889,107562
University of Colorado Boulder,University of Colorado Boulder,196826.97,US,education,116568,4676778
West Virginia University,West Virginia University,83912.625,US,education,62732,1286953
Universidad Nacional Autonoma de Mexico (UNAM),,-1,MX,,-1,-1
Korea Advanced Institute of Science and Technology (KAIST),,-1,KR,,-1,-1
"University of California, Los Angeles (UCLA)","University of California, Berkeley",203838.98,US,education,325100,15870524
Universit of Michigan,,-1,US,,-1,-1
Northwestern University,Northwestern University,168912.58,US,education,193143,8015151
University of Michigan,University of Michigan–Ann Arbor,211956.42,US,education,845790,15945520
"The University of Melbourne, Data61",,-1,AU,,-1,-1
The University of Melbourne,,-1,AU,,-1,-1
University of Rochester,University of Rochester,127068.12,US,education,105194,4188699
Tencent AI Lab,,-1,CN,,-1,-1
Queen Mary University of London,Queen Mary University of London,171568.81,GB,education,91822,2603001
University College London  ,University College London,272407.6,GB,education,401267,14169300
University of Pennsylvania,University of Pennsylvania,204335.56,US,education,307520,13012314
University of North Carolina Charlotte,University of North Carolina at Charlotte,23245.137,US,education,30820,562874
Pacific Northwest National Laboratory,Pacific Northwest National Laboratory,119125.8,US,facility,76449,1471869
Carnegie Mellon University,Carnegie Mellon University,215411.48,US,education,118925,4855327
Microsoft Research,Microsoft Research (United Kingdom),42965.01,GB,company,12686,750186
