country,west
AFG,0
ALB,0
ARG,0
AUS,1
AUT,1
BEL,1
BGD,0
BGR,1
BIH,0
BLR,0
BOL,0
BRA,0
BRB,0
BTN,0
CAN,1
CHE,1
CHL,0
CHN,0
CIV,0
CMR,0
COD,0
COL,0
CRI,0
CUB,0
CYP,1
CZE,1
DEU,1
DMA,0
DNK,1
DZA,0
ECU,0
EGY,0
ESP,1
EST,1
ETH,0
FIN,1
FRA,1
GBR,1
GEO,0
GHA,0
GRC,1
GUF,0
GUY,0
HKG,0
HND,0
HRV,1
HTI,0
HUN,1
IDN,0
IND,0
IRL,1
IRN,0
IRQ,0
ISL,1
ISR,0
ITA,1
JAM,0
JOR,0
JPN,0
KAZ,0
KEN,0
KHM,0
KOR,0
KWT,0
LBN,0
LCA,0
LKA,0
LSO,0
LTU,1
LUX,1
LVA,1
MAR,0
MDA,1
MEX,0
MLT,1
MNG,0
MUS,0
MYS,0
NAM,0
NGA,0
NLD,1
NOR,1
NPL,0
NZL,1
OMN,0
PAK,0
PAN,0
PER,0
PHL,0
POL,1
PRI,0
PRT,1
PRY,0
PSE,0
QAT,0
ROM,1
ROU,1
RUS,0
RWA,0
SAU,0
SDN,0
SEN,0
SGP,0
SLV,0
SRB,0
SVK,1
SVN,1
SWE,1
SYR,0
THA,0
TTO,0
TUN,0
TUR,0
TWN,0
TZA,0
ARE,0
UGA,0
UKR,0
URY,0
USA,1
VEN,0
VNM,0
ZAF,0
ZWE,0
